Model,Feature_Set,Split,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Tuning_Method,Best_Params,Best_Param_Notes
Gaussian NB,W200_O50,80/20,0.4085324232081911,0.4140158929313005,0.4127592773595978,0.3767090993176138,0.8767946154726524,RandomizedSearchCV,{'var_smoothing': 1e-09},"No tuning done, default smoothing parameter used."
Gaussian NB,W200_O50,70/30,0.4254835039817975,0.4303402436871947,0.4279932118134392,0.394776823677306,0.8817459351729515,RandomizedSearchCV,{'var_smoothing': 1e-07},"No tuning done, default smoothing parameter used."
Gaussian NB,W300_O0,80/20,0.42988741044012285,0.4458363376503995,0.43645576388774665,0.42249048190232236,0.8919109170757235,RandomizedSearchCV,{'var_smoothing': 1e-09},"No tuning done, default smoothing parameter used."
Gaussian NB,W300_O0,70/30,0.44641638225255975,0.46546141710101147,0.4599395242466096,0.4358492679152617,0.8966861585638193,RandomizedSearchCV,{'var_smoothing': 1e-07},"No tuning done, default smoothing parameter used."
Gaussian NB,W300_O50,80/20,0.44152498712004123,0.4517339258943193,0.4539138335938571,0.4250959390948126,0.8994225401197018,RandomizedSearchCV,{'var_smoothing': 1e-09},"No tuning done, default smoothing parameter used."
Gaussian NB,W300_O50,70/30,0.4426510989010989,0.4555019223873453,0.45138558776582777,0.42281878447325844,0.8974143669307459,RandomizedSearchCV,{'var_smoothing': 1e-09},"No tuning done, default smoothing parameter used."
Gaussian NB,W400_O0,80/20,0.4170096021947874,0.4482581739493123,0.43545655215368434,0.4141704814480981,0.8942686868548624,RandomizedSearchCV,{'var_smoothing': 1e-09},"No tuning done, default smoothing parameter used."
Gaussian NB,W400_O0,70/30,0.4643510054844607,0.4875905225926504,0.47938730965633775,0.44641192870511914,0.9037436696114228,RandomizedSearchCV,{'var_smoothing': 1e-09},"No tuning done, default smoothing parameter used."
Gaussian NB,W400_O50,80/20,0.45674740484429066,0.4676740430298393,0.4644307260779515,0.43249270240793775,0.9052152674308508,RandomizedSearchCV,{'var_smoothing': 1e-09},"No tuning done, default smoothing parameter used."
Gaussian NB,W400_O50,70/30,0.45156826568265684,0.46201383026377324,0.4590512626451058,0.4360527825962545,0.9029733259235809,RandomizedSearchCV,{'var_smoothing': 1e-09},"No tuning done, default smoothing parameter used."
Gaussian NB,W500_O0,80/20,0.46048109965635736,0.5011163735822209,0.4842907570989979,0.4548867779000926,0.9070392982724728,RandomizedSearchCV,{'var_smoothing': 1e-09},"No tuning done, default smoothing parameter used."
Gaussian NB,W500_O0,70/30,0.4833906071019473,0.5060017981508669,0.4911245881912709,0.47027638346017536,0.908947416969783,RandomizedSearchCV,{'var_smoothing': 1e-09},"No tuning done, default smoothing parameter used."
